ID;nombre;direccion;capacidad
ac320572-12a6-4455-ac4a-b77cb8540d0a;Bombonera;Branden 805;54000
b66c15f2-3c8d-43fe-a02d-04df7fa32d71;Monumental;Figeroa Alcorta 7597;70074
559d5b81-7c7a-4692-b7d3-a38b342ecdd2;Estadio Jorge Luis Hirschi;Avenida 1 y Calle 57;30000
31f12b9a-14bb-4429-a465-9093935cb663;Estadio Juan Carmelo Zerillo;Avenida 60 B1904;21500
